full_location_name,gps_latitude,gps_longitude
"Abene, Senegal",12.99852698,-16.72104094
"Abuko Nature Reserve, Gambia",13.39636376,-16.64330623
"Abuko, Gambia",13.40263841,-16.65906227
"Alagui Core, Senegal",14.14163889,-13.02530556
"Alarba, Senegal",16.43667179,-15.70259962
"Badi Nieriko, Senegal",13.37703237,-13.37600442
"Baila, Senegal",12.8968509,-16.34786515
"Bakel, Senegal",14.90401035,-12.45790345
"Bala, Senegal",14.0200208,-13.16587126
"Kharakhena, Senegal",12.7162784,-12.25135626
"Bandafassi, Senegal",12.53872278,-12.31026567
"Bandia, Senegal",14.58855828,-17.0184477
"Banfarato, Senegal",12.69333333,-12.83527778
"Bansang, Gambia",13.43470617,-14.6571594
"Bantako, Senegal",12.76694408,-12.23893672
"Bantanta, Senegal",12.68153599,-12.33249031
"Barkedji, Senegal",15.27769563,-14.8675598
"Basori, Gambia",13.22930419,-16.58936667
"Bembou, Senegal",12.82842759,-11.87716218
"Brefet, Gambia",13.24401974,-16.38029741
"Betanti, Senegal",13.6887577,-16.62729107
"Bijilo National Park, Gambia",13.42878849,-16.73092757
"Birkilane, Senegal",14.12849971,-15.74361517
"Beeta, Gambia",13.18333441,-16.28075755
"Bodeyel, Gambia",13.3835339,-15.28593924
"Boukitimgo, Senegal",12.44542496,-16.58897097
"Boutougoufara, Senegal",13.39799288,-12.48534794
"Bransan, Senegal",13.26150708,-12.10900746
"Burong, Gambia",13.32697821,-16.17820252
"Bwiam, Gambia",13.22903165,-16.07988856
"Cassamance National Park, Senegal",12.39078837,-16.57697563
"Cobo, Senegal",missing,missing
"Colobane, Senegal",14.64460537,-15.7085448
"Croisement Boube, Senegal",16.50300464,-15.05963286
"Dagana, Senegal",16.51054736,-15.50347422
"Dagathie, Senegal",15.62602108,-16.25132039
"Dakar, Senegal",14.71580388,-17.46886942
"Dar Salam, Senegal",12.63064752,-12.78901161
"Darou Koung Koung, Senegal",14.40940892,-14.8097348
"Darou Mousti, Senegal",15.04321322,-16.04630879
"Darou Wolof, Senegal",13.99953552,-14.76900446
"Dembankane, Senegal",15.090954,-12.70018067
"Dendoudi, Senegal",15.39321694,-13.53715444
"Diagali, Senegal",15.27623003,-14.67330165
"Diagne, Senegal",14.859691,-15.89969263
"Diakene Wolof, Senegal",12.45488361,-16.6372108
"Diakhaba, Senegal",12.70633232,-11.97914759
"Diana, Senegal",13.542015,-12.86360449
"Dindefelo, Senegal",12.38335107,-12.32794688
"Dianke Makha, Senegal",13.67890617,-12.66095709
"Diatakounda, Senegal",12.56783085,-15.68643751
"Diawara, Senegal",15.02086811,-12.54392442
"Diboly Foulbe, Senegal",14.47331344,-12.20540584
"Dide, Senegal",13.97405527,-12.34301849
"Dielmon, Senegal",13.72487999,-16.41310563
"Dielani, Senegal",13.9130104,-12.69493563
"Diomandou Walo, Senegal",16.4986276,-14.43942144
"Diourbel, Senegal",14.6556934,-16.23611747
"Djidiery, Senegal",16.48470047,-15.56035574
"Djiro Mantoro, Senegal",13.03333333,-16.03333333
"Djoudj National Bird Sanctuary, Senegal",16.399568,-16.23965287
"Dodel, Senegal",16.48758803,-14.42107258
"Doulouyabe, Senegal",14.09796463,-12.60798698
"Doumga Lao, Senegal",16.33843061,-14.22101479
"Drambos, Senegal",missing,missing
"Douassu, Gambia",13.19533814,-16.5494315
"Elinkine, Senegal",12.50697232,-16.66306306
"Etiolo, Senegal",12.5893936,-12.85589941
"Fadiga, Senegal",12.55,-12.16666667
"Fadiouth, Senegal",14.15191382,-16.82297342
"Farafenni, Gambia",13.57215475,-15.59934183
"Fatick, Senegal",14.33914787,-16.41120069
"Fongolimbi, Senegal",12.42355084,-12.00279243
"Fourdou, Senegal",15.21253499,-14.15428745
"Fugga, Gambia",missing,missing
"Gallo, Senegal",14.6321508,-16.44015462
"Galoya, Senegal",16.07185323,-13.85457638
"Gandiaye, Senegal",14.23991692,-16.27001923
"Gankette, Senegal",15.98047336,-15.92815427
"Gasse, Senegal",15.34644254,-15.08279769
"Giboro Kuta, Gambia",13.18741149,-16.57235126
"Gidda, Gambia",13.19628471,-16.58588363
"Gossas, Senegal",14.49545784,-16.06816872
"Goudiri, Senegal",14.18379572,-12.71600432
"Gouloumbou, Senegal",13.46993738,-13.71697855
"Goumbayel, Senegal",13.68988023,-13.16996644
"Gue De Sambailo, Senegal",missing,missing
"Guediawaye, Senegal",14.78272898,-17.3774799
"Gunjur, Gambia",13.18092462,-16.75584067
"Haere Lao, Senegal",16.40078082,-14.32363555
"Ibel, Senegal",12.51298734,-12.38153182
"Ida Seco, Senegal",13.99369543,-14.6791195
"Ina, Senegal",14.50888594,-16.02047377
"Jenung Kunda, Gambia",13.19103813,-16.5468803
"Jimballa Kerr Malick, Gambia",13.74458235,-15.38646096
"Joal, Senegal",14.1698336,-16.84999873
"Julakunda, Gambia",13.33139387,-16.17484689
"Kabrousse, Senegal",12.3506158,-16.71642229
"Kaffrine, Senegal",14.10490712,-15.54905799
"Kanene Khar, Senegal",15.50988154,-16.05591097
"Kaolack, Senegal",14.16574021,-16.07411537
"Kartong, Gambia",13.09032803,-16.75427968
"Kaymor, Senegal",13.76901473,-15.58592642
"Kedougou, Senegal",12.5607117,-12.19002939
"Keneba, Gambia",13.33151571,-16.00975723
"Kerr Serign, Gambia",13.43265626,-16.72074001
"Keur Momar Sarr, Senegal",15.92540796,-15.96633858
"Keur Moussa, Senegal",14.78017968,-17.11508948
"Kholdabetch, Senegal",missing,missing
"Kiang West National Park, Gambia",13.38956395,-15.91129664
"Kidira, Senegal",14.45697035,-12.21199067
"Kolda, Senegal",12.90019451,-14.94258657
"Kolikunda, Gambia",missing,missing
"Kolli Kunda, Gambia",missing,missing
"Kollikunda, Gambia",missing,missing
"Kossanto, Senegal",13.1338061,-11.96741482
"Kothiary, Senegal",13.89095526,-13.45903522
"Kounkane, Senegal",12.93001069,-14.08005354
"Koussane, Senegal",14.13191675,-12.44302146
"Kulkulay, Gambia",missing,missing
"Kulkullay, Gambia",missing,missing
"Kunting, Gambia",13.52678,-14.67183234
"Kurop, Gambia",13.50783485,-14.71881339
"Lagbar, Senegal",15.83336566,-14.80754019
"Lambango, Senegal",15.46669128,-13.53317832
"Lampsar, Senegal",16.10874544,-16.34731974
"Lingue Kountou, Senegal",13.03333333,-13.08333333
"Linguere, Senegal",15.39596131,-15.11033377
"Louga, Senegal",15.61445574,-16.22755929
"Lougue, Senegal",16.05880313,-13.91873407
"Maka Gouye, Senegal",13.80745362,-14.94966703
"Makasutu, Gambia",13.3106155,-16.61588452
"Mako, Senegal",12.84818091,-12.35486793
"Mamud Fana, Gambia",13.59606322,-15.11892918
"Mandinaba, Gambia",13.27966314,-16.58979097
"Marsassoum, Senegal",12.83654541,-15.97722543
"Matam, Senegal",15.66033207,-13.25702236
"Makhana, Senegal",16.08846761,-16.36829201
"Mballo Counda Woudou, Senegal",12.99962365,-14.01678472
"Mbane, Senegal",16.27152602,-15.79632241
"Mbaouane, Senegal",14.88081331,-17.13120968
"Mbappa Ba, Gambia",13.58766108,-15.48180046
"Mbappa Mariga, Gambia",13.58752659,-15.48280811
"Mbarigo, Senegal",16.08314515,-16.36433036
"Mboubene, Senegal",16.10072395,-16.40130449
"Mbour, Senegal",14.42052114,-16.97180685
"Mereto, Senegal",13.81863263,-14.44005476
"Missira Gmb, Gambia",13.381968,-15.5330604
"Missira Sandou, Gambia",13.35972512,-14.34976734
"Missirah, Senegal",13.68091762,-16.49999178
"Mlomp, Senegal",12.83050604,-16.5256326
"Mount Assirick, Senegal",12.88505808,-12.7511522
"Mpal, Senegal",15.92154451,-16.26652951
"Ndebou, Senegal",12.5190278,-12.43531199
"Nder, Senegal",16.25927127,-15.88392407
"Ndiagne, Senegal",15.41839376,-16.07267618
"Ndiaoudoun, Senegal",16.064085,-16.38072949
"Ndiobene, Senegal",14.00394614,-13.41598042
"Ndione, Senegal",14.61379833,-16.41337456
"Ndiop, Senegal",15.94852272,-16.3454365
"Ndombo, Senegal",16.43422388,-15.69838483
"Ndougoubene, Senegal",14.140611,-15.578658
"Nema Nding, Senegal",13.7822543,-16.46897504
"Ngari, Senegal",12.63474502,-12.25021113
"Ngor, Senegal",14.74419018,-17.51204232
"Ngoye, Senegal",14.64172308,-16.43439674
"Nguekhokhe, Senegal",14.51820637,-17.0095836
"Niahene, Senegal",14.02396876,-15.18604292
"Niakhar, Senegal",14.4763554,-16.40172061
"Niayes Lac Rose, Senegal",14.78655471,-17.31169424
"Niayes, Senegal",14.78912838,-17.33041296
"Niemenike, Senegal",13.00745845,-12.54596442
"Niokolo Koba, Senegal",13.07729775,-12.72054798
"Nioro Jattaba, Gambia",13.29132843,-15.8285494
"Ouakam, Senegal",14.72358965,-17.49414217
"Oussouye, Senegal",12.48843367,-16.54392886
"Panal, Senegal",14.3159584,-14.44006438
"Pirang, Gambia",13.2713187,-16.53400407
"Pk10, Senegal",12.61121217,-12.24714562
"Ranerou, Senegal",15.29562114,-13.95781643
"Retba Lake, Senegal",14.84292781,-17.22730499
"Ribo Kodiole, Senegal",14.39988594,-14.74151029
"Richard Toll, Senegal",16.45876484,-15.6941775
"River Gambia National Park, Gambia",13.69260837,-14.93234727
"Rosso, Senegal",16.50037753,-15.80394959
"Rufisque, Senegal",14.72191498,-17.27694766
"Sabodala, Senegal",13.16196669,-12.11195087
"Saboya, Senegal",13.61944148,-16.08202734
"Saint Louis, Senegal",16.03253036,-16.48185584
"Salemata, Senegal",12.63424977,-12.81956449
"Sambel Kunda, Gambia",13.66511122,-14.97613735
"Samekouta, Senegal",12.60599683,-12.12983517
"Sare Demba Torro, Gambia",13.43338819,-14.31644515
"Sar Maounde, Senegal",15.9832642,-13.91659263
"Raouna Djidere, Senegal",13.02352723,-15.0407999
"Sare Sandie, Senegal",12.70986359,-14.71699048
"Sare Sofi, Gambia",13.41651667,-14.51715057
"Saruja, Gambia",13.55188971,-14.910967
"Savoigne, Senegal",16.20233713,-16.28162509
"Sedhiou, Senegal",12.70480403,-15.55632205
"Segou, Senegal",12.40753792,-12.28331236
"Seme, Senegal",15.1978861,-12.94398928
"Sibanor, Gambia",13.20634338,-16.19671488
"Sil, Senegal",14.20497918,-14.54396782
"Simenti, Senegal",13.04926165,-13.29824746
"Sinchan Faranba, Gambia",missing,missing
"Sine Saloum, Senegal",14.12540593,-16.46663075
"Sinthian Koundara, Senegal",13.25598954,-13.90600001
"Sinthiou Doube, Senegal",14.18193758,-12.75902146
"Sinthiou Maleme, Senegal",13.81990622,-13.92001073
"Sololo, Gambia",13.45557732,-14.68191224
"Somita, Gambia",13.20639328,-16.30354177
"Tisse, Senegal",14.05305033,-15.53046446
"Soutouta, Senegal",13.80304432,-12.7174835
"Taboran Koto, Gambia",13.31679021,-16.18093144
"Talibadji, Senegal",14.07197917,-12.99705365
"Talokoto, Gambia",13.27795947,-16.62636722
"Tamba, Senegal",13.89232787,-15.25909758
"Tambacounda, Senegal",13.77300562,-13.67026808
"Temey, Senegal",16.33340386,-15.76635643
"Terema, Senegal",13.6895492,-16.62560967
"Tessekere, Senegal",15.81541667,-15.13607778
"Ntiago, Senegal",16.39540445,-15.72079293
"Thiakhathie, Senegal",14.33443423,-14.60220812
"Thialy, Senegal",15.51542706,-13.1091104
"Thies, Senegal",14.79143554,-16.93540442
"Thiewle, Senegal",16.49199865,-15.00979337
"Tilene, Senegal",16.26623859,-16.18084483
"Thille, Senegal",16.51695937,-15.09223763
"Tobor, Senegal",12.65940792,-16.26187633
"Tomboronkoto, Senegal",12.80027912,-12.29230534
"Toubakuta, Gambia",13.25687306,-16.59518116
"Tuabou, Senegal",14.9735804,-12.46602997
"Tuba, Gambia",13.57817418,-16.38898792
"Tumani Tenda, Gambia",13.21570534,-16.47530216
"Tun Cope, Senegal",missing,missing
"Velingara, Senegal",13.14878644,-14.11061885
"Walikunda, Gambia",13.57306162,-14.92313141
"Yafera, Senegal",14.784917,-12.29396782
"Yetti Yone, Senegal",16.34407351,-15.86567143
"Yonofere, Senegal",15.26199062,-14.45623625
"Yorro Beri Kunda, Gambia",13.49398171,-14.75356213
"Youppe Hamady, Senegal",14.3509421,-12.40201489
"Ziguinchor, Senegal",12.56458901,-16.26251202
